date,最高温度,最低温度,空气质量
2021/11/17,13,1,115
2021/11/18,9,2,157
2021/11/19,10,3,34
2021/11/20,8,0,55
2021/11/21,7,-1,124
2021/11/22,4,-5,37
2021/11/23,8,-4,45
2021/11/24,12,-2,64
2021/11/25,13,-2,66
2021/11/26,13,-3,47
2021/11/27,10,0,92
2021/11/28,9,2,141
2021/11/29,7,-1,89
2021/11/30,5,-5,22
2021/12/1,9,-5,26
2021/12/2,13,0,39
2021/12/3,13,-1,43
2021/12/4,13,-3,50
2021/12/5,11,0,95
2021/12/6,12,-3,52
2021/12/7,10,-3,31
2021/12/8,7,1,62
2021/12/9,4,-1,127
2021/12/10,9,-1,96
2021/12/11,11,-3,51
2021/12/12,3,-6,20
2021/12/13,4,-6,49
2021/12/14,6,-5,74
2021/12/15,3,-4,100
2021/12/16,4,-7,54
2021/12/17,0,-7,23
2021/12/18,5,-7,45
2021/12/19,9,-5,70
2021/12/20,13,-3,79
2021/12/21,8,-2,58
2021/12/22,5,-2,49
2021/12/23,-1,-5,69
2021/12/24,-4,-10,27
2021/12/25,-4,-11,17
2021/12/26,-1,-8,28
2021/12/27,6,-8,56
2021/12/28,6,-5,64
2021/12/29,5,-5,43
2021/12/30,6,-7,38
2021/12/31,5,-7,44
